S_name',travel_mode',imp_friends','school_inter','Neigh_play','friend_meet','imp_kids','avg_mvpa','SD_mvpa',per_avg_under60',per_sixty_daily','mvpa_boys','mvpa_girls','0_30','30_40','40_50','50_60','60_70','70_80','80_90','more90','mvpa1','mvpa2','mvpa3','mvpa4','walk1','walk2','walk3','walk4','R_socio','R_sport','R_crime','R_walk','R_fit','R_outplay','R_min_outplay','R_simd','PA_home','PA_sc','PA_road','PA_Pfield','PA_park','PA_PG','PA_amenity','PA_SHOP','PA_F_home','PA_FSA','PA_OD','PA_H_garden','fsa_time','OD_time'
School+60,usual,0.3,60,0.2,0.4,0.25,81.28733751,18,0.116995667,0.516425121,89.0573055,73.28191593,0,0.003851709,0.025999037,0.087144921,0.169475205,0.204622051,0.199325951,0.309581127,80,76,82,82,48,39,45,39,0.05,0.23,-0.02,0.43,0.74,0.06,0.09,0.05,11,36,15,3.059855561,2.800288878,0.36543091,2.043389504,0.388021184,2.037342321,5,7,0,16,30
School+60,usual,0.3,60,0.2,0.4,0.25,79.99245065,18,0.134809822,0.471497585,87.38574884,72.06051896,0,0.005777564,0.034183919,0.094848339,0.18199326,0.213288397,0.186326432,0.28358209,79,76,81,80,48,40,44,38,0.03,0.29,-0.01,0.48,0.72,0.05,0.04,0.03,10,36,14,3.027597496,2.563601348,0.288377468,1.976658642,0.352161772,1.990717381,6,7,0,17,29
School+60,usual,0.3,60,0.2,0.4,0.25,80.57315359,18,0.136735676,0.496618357,88.68561049,73.17034991,0,0.006259027,0.030813674,0.099662975,0.169956668,0.198363024,0.195474242,0.29947039,81,76,80,81,49,37,44,39,0.01,0.24,0,0.48,0.74,0.09,0.1,0.02,10,36,14,2.921425132,2.880288878,0.404044295,1.901280693,0.383553202,2.059374097,6,7,0,17,30
School+60,usual,0.3,60,0.2,0.4,0.25,81.19377949,18,0.12132884,0.497584541,87.78402999,74.23160396,0,0.002888782,0.02503611,0.093403948,0.173326914,0.205584978,0.195955705,0.303803563,81,77,82,80,49,39,46,37,-0.01,0.24,0.01,0.47,0.74,0.07,0.07,-0.03,11,36,15,3.046336062,2.737717862,0.318228214,2.18701974,0.379585941,2.068387097,5,7,0,16,30
School+60,usual,0.3,60,0.2,0.4,0.25,81.04344728,18,0.126143475,0.495169082,88.68490028,73.18558594,0,0.004814636,0.031295137,0.090033702,0.153586904,0.226769379,0.196437169,0.297063072,80,78,82,81,47,38,44,39,0.04,0.23,0.02,0.44,0.75,0.07,0.08,0.03,11,36,14,2.836129032,3.098950409,0.375984593,1.97550313,0.385883486,2.077014925,5,7,0,16,30
School+60,usual,0.3,60,0.2,0.4,0.25,80.25063072,18,0.138180068,0.483574879,88.26862632,72.19393822,0,0.003370246,0.032739528,0.102070294,0.168512277,0.209918151,0.202214733,0.281174771,80,75,81,81,47,38,45,38,0.04,0.28,-0.04,0.46,0.75,0.1,0.12,0.06,10,36,14,2.942821377,2.956398652,0.414289841,1.864323544,0.36132884,2.015637939,5,7,0,17,30
Walk_school,walk_school,0.3,0,0.2,0.4,0.25,70.84959076,14,0.230621088,0.182125604,76.56909633,65.46684112,0,0.006259027,0.052479538,0.171882523,0.272508426,0.248916707,0.14780934,0.100144439,69,68,71,72,56,52,56,52,0.08,0.26,-0.01,0.42,0.73,0.1,0.09,0.12,10,22,18,3.321097737,3.022339913,0.431044776,2.266441984,0.36966779,2.082407318,5,8,0,16,34
Walk_school,walk_school,0.3,0,0.2,0.4,0.25,71.38578719,14,0.217621569,0.210628019,76.30949533,66.15404171,0,0.004814636,0.052961001,0.159845932,0.271545498,0.246990852,0.157438613,0.106403467,70,69,71,73,56,54,54,54,0.09,0.33,-0.02,0.48,0.71,0.09,0.03,0.08,10,22,18,2.948425614,2.890688493,0.420587386,2.321251805,0.360558498,2.079711122,6,8,0,17,32
Walk_school,walk_school,0.3,0,0.2,0.4,0.25,70.9801637,14,0.225806451,0.202415459,76.57831884,65.41961612,0,0.006740491,0.052961001,0.166104959,0.280211844,0.240731825,0.145402022,0.107847857,70,68,71,73,56,52,55,53,0.09,0.35,-0.03,0.48,0.72,0.07,0.05,0.12,10,22,18,3.121001444,2.980741454,0.337371208,2.294886856,0.35761194,2.09086182,5,8,0,16,33
Walk_school,walk_school,0.3,0,0.2,0.4,0.25,71.26738565,14,0.220991816,0.211111111,76.51240705,66.18642654,0.000481464,0.005777564,0.054886856,0.159845932,0.270101107,0.255657198,0.146846413,0.106403467,69,69,71,73,56,52,56,54,0.11,0.35,-0.01,0.47,0.73,0.1,0.02,0.08,10,22,18,2.933962446,3.051555128,0.454270583,2.282233991,0.371439576,2.029311507,5,8,0,17,33
Walk_school,walk_school,0.3,0,0.2,0.4,0.25,72.05276842,14,0.212325469,0.229951691,77.78866602,66.44251429,0,0.005777564,0.050553683,0.155994222,0.26384208,0.240731825,0.170919596,0.11218103,70,70,72,74,57,54,56,55,0.11,0.31,-0.02,0.46,0.71,0.1,0.05,0.1,10,23,19,3.01298026,2.889301878,0.425902744,2.308521907,0.377737121,2.051535869,6,8,0,17,32
Walk_school,walk_school,0.3,0,0.2,0.4,0.25,71.29586904,14,0.215695714,0.200483092,76.86818898,65.9598869,0,0.004814636,0.043813192,0.167067886,0.275878671,0.253731343,0.153586904,0.101107366,69,70,71,73,54,55,54,52,0.11,0.32,-0.04,0.43,0.7,0.08,0.06,0.14,10,22,18,3.16635532,3.046547906,0.345055368,2.420491093,0.363890226,2.141685123,5,8,0,16,33
Walk_school,walk_school,0.3,0,0.2,0.4,0.25,71.28816562,14,0.236398652,0.226086957,76.74037594,65.56146101,0,0.006259027,0.05536832,0.174771305,0.24410207,0.248435243,0.161290323,0.109773712,69,71,72,72,56,55,54,53,0.1,0.29,-0.02,0.49,0.72,0.08,0.07,0.14,10,22,18,3.419682234,2.947308618,0.335021666,2.269561868,0.356629754,2.038343765,5,8,0,16,33
Walk_school,walk_school,0.3,0,0.2,0.4,0.25,71.50921521,14,0.224362061,0.220772947,77.04074364,66.1507109,0,0.004333173,0.048627829,0.171401059,0.26384208,0.249879634,0.145883486,0.11603274,70,69,72,73,57,55,57,52,0.09,0.37,-0.05,0.43,0.72,0.1,0.04,0.13,10,22,19,3.173018777,2.736234954,0.363543572,2.332999519,0.376408281,2.063495426,6,8,0,17,32
Walk_school,walk_school,0.3,0,0.2,0.4,0.25,71.50497833,14,0.221473279,0.200483092,77.01429971,66.17825758,0,0.003851709,0.05536832,0.16225325,0.262397689,0.255175734,0.156475686,0.104477612,70,68,72,73,57,54,55,51,0.08,0.32,-0.04,0.46,0.72,0.09,0.05,0.13,10,22,18,3.27880597,2.689013,0.455137217,2.283928743,0.368396726,2.041675494,6,8,0,17,32
Walk_school,walk_school,0.3,0,0.2,0.4,0.25,72.00100144,14,0.200770341,0.228502415,77.39939394,66.41755142,0,0.004814636,0.04092441,0.155031295,0.270582571,0.265767935,0.151179586,0.111699567,71,69,72,72,57,53,56,52,0.05,0.32,-0.02,0.47,0.69,0.1,0.03,0.09,10,23,19,3.317785267,2.965007222,0.459624458,2.248570053,0.369282619,2.15641791,5,8,0,16,33
Walk_all,Walk_all,0.3,0,0.2,0.4,0.25,73.66237843,14,0.171401059,0.258454106,78.67780511,68.46501961,0,0.001444391,0.031295137,0.138661531,0.257101589,0.260471834,0.173808377,0.13721714,71,72,74,75,60,63,63,62,0.11,0.39,-0.06,0.49,0.7,0.08,0.02,0.11,10,22,21,3.035435725,2.618468946,0.510255176,2.381242176,0.345440539,2.046913818,6,8,0,17,32
